 ,Area,Mean,Min,Max,X,Y
1,0,201,201,201,168.000,723.000
2,0,195,195,195,183.500,699.167
3,0,188,188,188,195.500,672.500
4,0,184,184,184,212.833,649.833
5,0,191,191,191,224.833,620.500
6,0,181,181,181,238.167,595.167
7,0,183,183,183,243.500,571.167
8,0,182,182,182,250.167,548.500
9,0,184,184,184,255.500,521.833
10,0,170,170,170,270.167,497.833
11,0,171,171,171,280.833,472.500
12,0,171,171,171,296.833,449.833
13,0,166,166,166,319.500,436.500
14,0,172,172,172,332.833,425.833
15,0,172,172,172,344.833,411.167
16,0,167,167,167,362.167,396.500
17,0,165,165,165,382.167,371.167
18,0,162,162,162,406.167,349.833
19,0,169,169,169,432.833,324.500
20,0,169,169,169,432.833,323.167
21,0,168,168,168,448.833,303.167
22,0,171,171,171,472.833,272.500
23,0,177,177,177,495.500,255.167
24,0,176,176,176,523.500,231.167
25,0,179,179,179,551.500,207.167
26,0,194,194,194,576.833,187.167
27,0,192,192,192,592.833,171.167
28,0,190,190,190,612.833,143.167
29,0,199,199,199,640.833,120.500
30,0,199,199,199,660.833,119.167
31,0,197,197,197,671.500,93.833
32,0,199,199,199,688.833,72.500
33,0,199,199,199,706.167,47.167
34,0,196,196,196,727.500,28.500
35,0,199,199,199,746.167,9.833
